Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
03 Alicante/Alacant	Número de plazas estimadas	2022M05	85.737
03 Alicante/Alacant	Número de plazas estimadas	2022M04	77.475
03 Alicante/Alacant	Número de plazas estimadas	2022M03	67.927
03 Alicante/Alacant	Número de plazas estimadas	2022M02	63.893
03 Alicante/Alacant	Número de plazas estimadas	2022M01	67.081
03 Alicante/Alacant	Número de plazas estimadas	2021M12	69.922
03 Alicante/Alacant	Número de plazas estimadas	2021M11	69.318
03 Alicante/Alacant	Número de plazas estimadas	2021M10	82.992
03 Alicante/Alacant	Número de plazas estimadas	2021M09	89.868
03 Alicante/Alacant	Número de plazas estimadas	2021M08	92.695
03 Alicante/Alacant	Número de plazas estimadas	2021M07	92.309
03 Alicante/Alacant	Número de plazas estimadas	2021M06	87.657
03 Alicante/Alacant	Número de plazas estimadas	2021M05	76.252
03 Alicante/Alacant	Número de plazas estimadas	2021M04	72.800
03 Alicante/Alacant	Número de plazas estimadas	2021M03	61.030
03 Alicante/Alacant	Número de plazas estimadas	2021M02	57.970
03 Alicante/Alacant	Número de plazas estimadas	2021M01	58.784
03 Alicante/Alacant	Número de plazas estimadas	2020M12	57.637
03 Alicante/Alacant	Número de plazas estimadas	2020M11	59.462
03 Alicante/Alacant	Número de plazas estimadas	2020M10	67.942
03 Alicante/Alacant	Número de plazas estimadas	2020M09	76.929
03 Alicante/Alacant	Número de plazas estimadas	2020M08	82.178
03 Alicante/Alacant	Número de plazas estimadas	2020M07	83.730
03 Alicante/Alacant	Número de plazas estimadas	2020M06	55.383
03 Alicante/Alacant	Número de plazas estimadas	2020M05	16.894
03 Alicante/Alacant	Número de plazas estimadas	2020M04	0
03 Alicante/Alacant	Número de plazas estimadas	2020M03	36.308
03 Alicante/Alacant	Número de plazas estimadas	2020M02	78.245
03 Alicante/Alacant	Número de plazas estimadas	2020M01	79.382
03 Alicante/Alacant	Número de plazas estimadas	2019M12	79.853
03 Alicante/Alacant	Número de plazas estimadas	2019M11	78.882
03 Alicante/Alacant	Número de plazas estimadas	2019M10	81.374
03 Alicante/Alacant	Número de plazas estimadas	2019M09	79.986
03 Alicante/Alacant	Número de plazas estimadas	2019M08	94.717
03 Alicante/Alacant	Número de plazas estimadas	2019M07	93.740
03 Alicante/Alacant	Número de plazas estimadas	2019M06	97.304
03 Alicante/Alacant	Número de plazas estimadas	2019M05	93.466
03 Alicante/Alacant	Número de plazas estimadas	2019M04	90.671
03 Alicante/Alacant	Número de plazas estimadas	2019M03	75.708
03 Alicante/Alacant	Número de plazas estimadas	2019M02	73.831
03 Alicante/Alacant	Número de plazas estimadas	2019M01	73.824
03 Alicante/Alacant	Número de plazas estimadas	2018M12	75.059
03 Alicante/Alacant	Número de plazas estimadas	2018M11	75.869
03 Alicante/Alacant	Número de plazas estimadas	2018M10	77.482
03 Alicante/Alacant	Número de plazas estimadas	2018M09	92.622
03 Alicante/Alacant	Número de plazas estimadas	2018M08	105.197
03 Alicante/Alacant	Número de plazas estimadas	2018M07	102.715
03 Alicante/Alacant	Número de plazas estimadas	2018M06	91.835
03 Alicante/Alacant	Número de plazas estimadas	2018M05	83.101
03 Alicante/Alacant	Número de plazas estimadas	2018M04	76.348
03 Alicante/Alacant	Número de plazas estimadas	2018M03	83.734
03 Alicante/Alacant	Número de plazas estimadas	2018M02	80.587
03 Alicante/Alacant	Número de plazas estimadas	2018M01	78.302
03 Alicante/Alacant	Número de plazas estimadas	2017M12	79.811
03 Alicante/Alacant	Número de plazas estimadas	2017M11	81.898
03 Alicante/Alacant	Número de plazas estimadas	2017M10	98.247
03 Alicante/Alacant	Número de plazas estimadas	2017M09	108.847
03 Alicante/Alacant	Número de plazas estimadas	2017M08	109.954
03 Alicante/Alacant	Número de plazas estimadas	2017M07	101.879
03 Alicante/Alacant	Número de plazas estimadas	2017M06	107.363
03 Alicante/Alacant	Número de plazas estimadas	2017M05	97.310
03 Alicante/Alacant	Número de plazas estimadas	2017M04	101.364
03 Alicante/Alacant	Número de plazas estimadas	2017M03	82.206
03 Alicante/Alacant	Número de plazas estimadas	2017M02	78.983
03 Alicante/Alacant	Número de plazas estimadas	2017M01	76.572
03 Alicante/Alacant	Número de plazas estimadas	2016M12	77.298
03 Alicante/Alacant	Número de plazas estimadas	2016M11	75.825
03 Alicante/Alacant	Número de plazas estimadas	2016M10	77.506
03 Alicante/Alacant	Número de plazas estimadas	2016M09	83.980
03 Alicante/Alacant	Número de plazas estimadas	2016M08	82.043
03 Alicante/Alacant	Número de plazas estimadas	2016M07	77.451
03 Alicante/Alacant	Número de plazas estimadas	2016M06	75.072
03 Alicante/Alacant	Número de plazas estimadas	2016M05	68.769
03 Alicante/Alacant	Número de plazas estimadas	2016M04	64.976
03 Alicante/Alacant	Número de plazas estimadas	2016M03	59.637
03 Alicante/Alacant	Número de plazas estimadas	2016M02	58.510
03 Alicante/Alacant	Número de plazas estimadas	2016M01	57.466
03 Alicante/Alacant	Número de plazas estimadas	2015M12	57.572
03 Alicante/Alacant	Número de plazas estimadas	2015M11	57.643
03 Alicante/Alacant	Número de plazas estimadas	2015M10	62.800
03 Alicante/Alacant	Número de plazas estimadas	2015M09	63.033
03 Alicante/Alacant	Número de plazas estimadas	2015M08	66.510
03 Alicante/Alacant	Número de plazas estimadas	2015M07	66.905
03 Alicante/Alacant	Número de plazas estimadas	2015M06	61.554
03 Alicante/Alacant	Número de plazas estimadas	2015M05	61.369
03 Alicante/Alacant	Número de plazas estimadas	2015M04	61.460
03 Alicante/Alacant	Número de plazas estimadas	2015M03	53.744
03 Alicante/Alacant	Número de plazas estimadas	2015M02	51.904
03 Alicante/Alacant	Número de plazas estimadas	2015M01	51.631
03 Alicante/Alacant	Número de plazas estimadas	2014M12	51.583
03 Alicante/Alacant	Número de plazas estimadas	2014M11	53.466
03 Alicante/Alacant	Número de plazas estimadas	2014M10	57.497
03 Alicante/Alacant	Número de plazas estimadas	2014M09	58.282
03 Alicante/Alacant	Número de plazas estimadas	2014M08	63.896
03 Alicante/Alacant	Número de plazas estimadas	2014M07	62.126
03 Alicante/Alacant	Número de plazas estimadas	2014M06	60.863
03 Alicante/Alacant	Número de plazas estimadas	2014M05	57.077
03 Alicante/Alacant	Número de plazas estimadas	2014M04	56.574
