Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;07 Castilla y León;24 León;2022M08;0,35
Total Nacional;07 Castilla y León;24 León;2022M02;0,3
Total Nacional;07 Castilla y León;24 León;2021M08;0,32
Total Nacional;07 Castilla y León;24 León;2021M02;0,29
Total Nacional;07 Castilla y León;24 León;2020M08;0,31
Total Nacional;07 Castilla y León;34 Palencia;2024M08;0,21
Total Nacional;07 Castilla y León;34 Palencia;2024M02;0,17
Total Nacional;07 Castilla y León;34 Palencia;2023M08;0,16
Total Nacional;07 Castilla y León;34 Palencia;2023M02;0,15
Total Nacional;07 Castilla y León;34 Palencia;2022M08;0,14
Total Nacional;07 Castilla y León;34 Palencia;2022M02;0,15
Total Nacional;07 Castilla y León;34 Palencia;2021M08;0,15
Total Nacional;07 Castilla y León;34 Palencia;2021M02;0,14
Total Nacional;07 Castilla y León;34 Palencia;2020M08;0,13
Total Nacional;07 Castilla y León;37 Salamanca;2024M08;0,64
Total Nacional;07 Castilla y León;37 Salamanca;2024M02;0,58
Total Nacional;07 Castilla y León;37 Salamanca;2023M08;0,5
Total Nacional;07 Castilla y León;37 Salamanca;2023M02;0,5
Total Nacional;07 Castilla y León;37 Salamanca;2022M08;0,51
Total Nacional;07 Castilla y León;37 Salamanca;2022M02;0,48
Total Nacional;07 Castilla y León;37 Salamanca;2021M08;0,5
Total Nacional;07 Castilla y León;37 Salamanca;2021M02;0,5
Total Nacional;07 Castilla y León;37 Salamanca;2020M08;0,55
Total Nacional;07 Castilla y León;40 Segovia;2024M08;0,83
Total Nacional;07 Castilla y León;40 Segovia;2024M02;0,7
Total Nacional;07 Castilla y León;40 Segovia;2023M08;0,65
Total Nacional;07 Castilla y León;40 Segovia;2023M02;0,59
Total Nacional;07 Castilla y León;40 Segovia;2022M08;0,59
Total Nacional;07 Castilla y León;40 Segovia;2022M02;0,52
Total Nacional;07 Castilla y León;40 Segovia;2021M08;0,56
Total Nacional;07 Castilla y León;40 Segovia;2021M02;0,55
Total Nacional;07 Castilla y León;40 Segovia;2020M08;0,62
Total Nacional;07 Castilla y León;42 Soria;2024M08;0,73
Total Nacional;07 Castilla y León;42 Soria;2024M02;0,57
Total Nacional;07 Castilla y León;42 Soria;2023M08;0,53
Total Nacional;07 Castilla y León;42 Soria;2023M02;0,47
Total Nacional;07 Castilla y León;42 Soria;2022M08;0,49
Total Nacional;07 Castilla y León;42 Soria;2022M02;0,44
Total Nacional;07 Castilla y León;42 Soria;2021M08;0,45
Total Nacional;07 Castilla y León;42 Soria;2021M02;0,38
Total Nacional;07 Castilla y León;42 Soria;2020M08;0,42
Total Nacional;07 Castilla y León;47 Valladolid;2024M08;0,23
Total Nacional;07 Castilla y León;47 Valladolid;2024M02;0,21
Total Nacional;07 Castilla y León;47 Valladolid;2023M08;0,17
Total Nacional;07 Castilla y León;47 Valladolid;2023M02;0,18
Total Nacional;07 Castilla y León;47 Valladolid;2022M08;0,16
Total Nacional;07 Castilla y León;47 Valladolid;2022M02;0,16
Total Nacional;07 Castilla y León;47 Valladolid;2021M08;0,16
Total Nacional;07 Castilla y León;47 Valladolid;2021M02;0,15
Total Nacional;07 Castilla y León;47 Valladolid;2020M08;0,15
Total Nacional;07 Castilla y León;49 Zamora;2024M08;0,38
Total Nacional;07 Castilla y León;49 Zamora;2024M02;0,32
Total Nacional;07 Castilla y León;49 Zamora;2023M08;0,3
Total Nacional;07 Castilla y León;49 Zamora;2023M02;0,3
Total Nacional;07 Castilla y León;49 Zamora;2022M08;0,3
Total Nacional;07 Castilla y León;49 Zamora;2022M02;0,28
Total Nacional;07 Castilla y León;49 Zamora;2021M08;0,29
Total Nacional;07 Castilla y León;49 Zamora;2021M02;0,25
Total Nacional;07 Castilla y León;49 Zamora;2020M08;0,27
Total Nacional;08 Castilla - La Mancha;;2024M08;0,4
Total Nacional;08 Castilla - La Mancha;;2024M02;0,35
Total Nacional;08 Castilla - La Mancha;;2023M08;0,31
Total Nacional;08 Castilla - La Mancha;;2023M02;0,31
Total Nacional;08 Castilla - La Mancha;;2022M08;0,29
Total Nacional;08 Castilla - La Mancha;;2022M02;0,27
Total Nacional;08 Castilla - La Mancha;;2021M08;0,27
Total Nacional;08 Castilla - La Mancha;;2021M02;0,26
Total Nacional;08 Castilla - La Mancha;;2020M08;0,27
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M08;0,45
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M02;0,4
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M08;0,37
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M02;0,37
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M08;0,33
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M02;0,3
Total Nacional;08 Castilla - La Mancha;02 Albacete;2021M08;0,29
Total Nacional;08 Castilla - La Mancha;02 Albacete;2021M02;0,28
Total Nacional;08 Castilla - La Mancha;02 Albacete;2020M08;0,27
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M08;0,27
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M02;0,23
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M08;0,2
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M02;0,22
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M08;0,21
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M02;0,19
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2021M08;0,19
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2021M02;0,17
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2020M08;0,18
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M08;0,63
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M02;0,57
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M08;0,51
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M02;0,48
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M08;0,45
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M02;0,41
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2021M08;0,43
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2021M02;0,38
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2020M08;0,41
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M08;0,42
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M02;0,36
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M08;0,32
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M02;0,28
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M08;0,28
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M02;0,27
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2021M08;0,27
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2021M02;0,25
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2020M08;0,26
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M08;0,38
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M02;0,33
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M08;0,29
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M02;0,29
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M08;0,28
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M02;0,25
Total Nacional;08 Castilla - La Mancha;45 Toledo;2021M08;0,25
Total Nacional;08 Castilla - La Mancha;45 Toledo;2021M02;0,26
Total Nacional;08 Castilla - La Mancha;45 Toledo;2020M08;0,28
Total Nacional;09 Cataluña;;2024M08;1,5
Total Nacional;09 Cataluña;;2024M02;1,34
Total Nacional;09 Cataluña;;2023M08;1,33
Total Nacional;09 Cataluña;;2023M02;1,18
Total Nacional;09 Cataluña;;2022M08;1,28
Total Nacional;09 Cataluña;;2022M02;1,28
Total Nacional;09 Cataluña;;2021M08;1,46
Total Nacional;09 Cataluña;;2021M02;1,41
Total Nacional;09 Cataluña;;2020M08;1,64
Total Nacional;09 Cataluña;08 Barcelona;2024M08;0,72
Total Nacional;09 Cataluña;08 Barcelona;2024M02;0,65
Total Nacional;09 Cataluña;08 Barcelona;2023M08;0,57
Total Nacional;09 Cataluña;08 Barcelona;2023M02;0,55
Total Nacional;09 Cataluña;08 Barcelona;2022M08;0,57
Total Nacional;09 Cataluña;08 Barcelona;2022M02;0,73
Total Nacional;09 Cataluña;08 Barcelona;2021M08;0,8
Total Nacional;09 Cataluña;08 Barcelona;2021M02;0,87
Total Nacional;09 Cataluña;08 Barcelona;2020M08;1
Total Nacional;09 Cataluña;17 Girona;2024M08;4,59
Total Nacional;09 Cataluña;17 Girona;2024M02;4,09
Total Nacional;09 Cataluña;17 Girona;2023M08;4,27
Total Nacional;09 Cataluña;17 Girona;2023M02;3,78
Total Nacional;09 Cataluña;17 Girona;2022M08;4,15
Total Nacional;09 Cataluña;17 Girona;2022M02;3,69
Total Nacional;09 Cataluña;17 Girona;2021M08;4,38
Total Nacional;09 Cataluña;17 Girona;2021M02;3,91
Total Nacional;09 Cataluña;17 Girona;2020M08;4,52
Total Nacional;09 Cataluña;25 Lleida;2024M08;1,16
Total Nacional;09 Cataluña;25 Lleida;2024M02;1,11
Total Nacional;09 Cataluña;25 Lleida;2023M08;1,09
Total Nacional;09 Cataluña;25 Lleida;2023M02;1,09
Total Nacional;09 Cataluña;25 Lleida;2022M08;1,05
Total Nacional;09 Cataluña;25 Lleida;2022M02;1,01
Total Nacional;09 Cataluña;25 Lleida;2021M08;1,06
Total Nacional;09 Cataluña;25 Lleida;2021M02;0,97
Total Nacional;09 Cataluña;25 Lleida;2020M08;1
Total Nacional;09 Cataluña;43 Tarragona;2024M08;2,49
Total Nacional;09 Cataluña;43 Tarragona;2024M02;2,22
Total Nacional;09 Cataluña;43 Tarragona;2023M08;2,33
Total Nacional;09 Cataluña;43 Tarragona;2023M02;1,97
Total Nacional;09 Cataluña;43 Tarragona;2022M08;2,2
Total Nacional;09 Cataluña;43 Tarragona;2022M02;1,92
Total Nacional;09 Cataluña;43 Tarragona;2021M08;2,22
Total Nacional;09 Cataluña;43 Tarragona;2021M02;2
Total Nacional;09 Cataluña;43 Tarragona;2020M08;2,41
Total Nacional;10 Comunitat Valenciana;;2024M08;2,17
Total Nacional;10 Comunitat Valenciana;;2024M02;1,81
Total Nacional;10 Comunitat Valenciana;;2023M08;1,78
Total Nacional;10 Comunitat Valenciana;;2023M02;1,59
Total Nacional;10 Comunitat Valenciana;;2022M08;1,64
Total Nacional;10 Comunitat Valenciana;;2022M02;1,51
Total Nacional;10 Comunitat Valenciana;;2021M08;1,62
Total Nacional;10 Comunitat Valenciana;;2021M02;1,58
Total Nacional;10 Comunitat Valenciana;;2020M08;1,74
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2024M08;3,31
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2024M02;2,82
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2023M08;2,81
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2023M02;2,6
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2022M08;2,67
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2022M02;2,51
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2021M08;2,65
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2021M02;2,62
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2020M08;2,8
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2024M08;1,96
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2024M02;1,53
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2023M08;1,58
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2023M02;1,31
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2022M08;1,45
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2022M02;1,17
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2021M08;1,35
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2021M02;1,13
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2020M08;1,33
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2024M08;1,2
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2024M02;0,98
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2023M08;0,9
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2023M02;0,78
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2022M08;0,79
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2022M02;0,73
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2021M08;0,8
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2021M02;0,8
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2020M08;0,92
