Total Nacional;Distritos;Tipo de dato;Periodo;Total
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2020;1,6
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2019;3,9
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2018;2,5
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2017;1,4
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2016;1,5
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2015;0,7
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2014;-0,1
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2013;-2,7
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2012;-1,5
Total Nacional;0301402 Alacant/Alicante distrito 02;Variación anual;2011;..
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2022;117,81
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2021;114,344
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2020;110,959
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2019;110,217
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2018;106,214
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2017;103,581
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2016;102,271
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2015;100
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2014;98,918
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2013;98,188
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2012;101,303
Total Nacional;0301403 Alacant/Alicante distrito 03;Índice;2011;104,221
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2022;3
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2021;3,1
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2020;0,7
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2019;3,8
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2018;2,5
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2017;1,3
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2016;2,3
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2015;1,1
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2014;0,7
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2013;-3,1
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2012;-2,8
Total Nacional;0301403 Alacant/Alicante distrito 03;Variación anual;2011;..
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2022;117,501
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2021;113,584
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2020;111,485
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2019;110,241
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2018;106,439
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2017;103,763
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2016;101,717
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2015;100
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2014;98,946
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2013;99,358
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2012;102,492
Total Nacional;0301404 Alacant/Alicante distrito 04;Índice;2011;103,617
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2022;3,4
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2021;1,9
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2020;1,1
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2019;3,6
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2018;2,6
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2017;2
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2016;1,7
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2015;1,1
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2014;-0,4
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2013;-3,1
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2012;-1,1
Total Nacional;0301404 Alacant/Alicante distrito 04;Variación anual;2011;..
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2022;118,81
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2021;114,904
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2020;112,64
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2019;111,724
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2018;106,552
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2017;104,333
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2016;101,88
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2015;100
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2014;99,646
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2013;100,761
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2012;102,317
Total Nacional;0301405 Alacant/Alicante distrito 05;Índice;2011;103,997
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2022;3,4
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2021;2
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2020;0,8
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2019;4,9
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2018;2,1
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2017;2,4
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2016;1,9
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2015;0,4
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2014;-1,1
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2013;-1,5
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2012;-1,6
Total Nacional;0301405 Alacant/Alicante distrito 05;Variación anual;2011;..
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2022;117,397
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2021;113,967
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2020;111,239
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2019;110,404
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2018;106,809
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2017;104,122
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2016;102,566
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2015;100
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2014;100,044
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2013;100,768
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2012;104,056
Total Nacional;0301406 Alacant/Alicante distrito 06;Índice;2011;106,666
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2022;3
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2021;2,5
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2020;0,8
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2019;3,4
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2018;2,6
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2017;1,5
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2016;2,6
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2015;0
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2014;-0,7
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2013;-3,2
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2012;-2,4
Total Nacional;0301406 Alacant/Alicante distrito 06;Variación anual;2011;..
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2022;117,893
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2021;114,048
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2020;111,995
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2019;110,301
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2018;105,691
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2017;104,007
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2016;102,104
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2015;100
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2014;99,857
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2013;99,84
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2012;103,793
Total Nacional;0301407 Alacant/Alicante distrito 07;Índice;2011;107,133
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2022;3,4
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2021;1,8
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2020;1,5
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2019;4,4
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2018;1,6
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2017;1,9
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2016;2,1
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2015;0,1
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2014;0
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2013;-3,8
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2012;-3,1
Total Nacional;0301407 Alacant/Alicante distrito 07;Variación anual;2011;..
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2022;116,18
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2021;112,945
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2020;110,874
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2019;110,117
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2018;107,014
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2017;104,691
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2016;103,163
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2015;100
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2014;99,916
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2013;99,994
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2012;102,2
Total Nacional;0301408 Alacant/Alicante distrito 08;Índice;2011;104,782
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2022;2,9
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2021;1,9
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2020;0,7
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2019;2,9
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2018;2,2
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2017;1,5
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2016;3,2
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2015;0,1
Total Nacional;0301408 Alacant/Alicante distrito 08;Variación anual;2014;-0,1
