Total Nacional;Provincias;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;06 Badajoz;Total;Índice;2022;112,018
Total Nacional;06 Badajoz;Total;Índice;2021;109,386
Total Nacional;06 Badajoz;Total;Índice;2020;107,611
Total Nacional;06 Badajoz;Total;Índice;2019;106,518
Total Nacional;06 Badajoz;Total;Índice;2018;104,002
Total Nacional;06 Badajoz;Total;Índice;2017;102,726
Total Nacional;06 Badajoz;Total;Índice;2016;101,831
Total Nacional;06 Badajoz;Total;Índice;2015;100
Total Nacional;06 Badajoz;Total;Índice;2014;100,279
Total Nacional;06 Badajoz;Total;Índice;2013;100,903
Total Nacional;06 Badajoz;Total;Índice;2012;102,752
Total Nacional;06 Badajoz;Total;Índice;2011;103,637
Total Nacional;06 Badajoz;Total;Variación anual;2022;2,4
Total Nacional;06 Badajoz;Total;Variación anual;2021;1,6
Total Nacional;06 Badajoz;Total;Variación anual;2020;1
Total Nacional;06 Badajoz;Total;Variación anual;2019;2,4
Total Nacional;06 Badajoz;Total;Variación anual;2018;1,2
Total Nacional;06 Badajoz;Total;Variación anual;2017;0,9
Total Nacional;06 Badajoz;Total;Variación anual;2016;1,8
Total Nacional;06 Badajoz;Total;Variación anual;2015;-0,3
Total Nacional;06 Badajoz;Total;Variación anual;2014;-0,6
Total Nacional;06 Badajoz;Total;Variación anual;2013;-1,8
Total Nacional;06 Badajoz;Total;Variación anual;2012;-0,9
Total Nacional;06 Badajoz;Total;Variación anual;2011;..
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2022;107,702
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2021;106,195
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2020;105,234
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2019;104,048
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2018;102,862
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2017;102,257
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2016;100,72
Total Nacional;06 Badajoz;Vivienda unifamiliar;Índice;2015;100
