Provincias;Sexo;Periodo;Total
10 Cáceres;Total;2015;406.267
10 Cáceres;Total;2014;408.703
10 Cáceres;Total;2013;410.275
10 Cáceres;Total;2012;413.597
10 Cáceres;Total;2011;415.446
10 Cáceres;Total;2010;415.083
10 Cáceres;Total;2009;413.633
10 Cáceres;Total;2008;412.498
10 Cáceres;Total;2007;411.531
10 Cáceres;Total;2006;412.899
10 Cáceres;Total;2005;412.580
10 Cáceres;Total;2004;411.390
10 Cáceres;Total;2003;410.762
10 Cáceres;Total;2002;410.242
10 Cáceres;Total;2001;409.130
10 Cáceres;Total;2000;407.546
10 Cáceres;Total;1999;408.949
10 Cáceres;Total;1998;405.616
10 Cáceres;Total;1997;""
10 Cáceres;Total;1996;413.396
11 Cádiz;Total;2021;1.245.960
11 Cádiz;Total;2020;1.244.049
11 Cádiz;Total;2019;1.240.155
11 Cádiz;Total;2018;1.238.714
11 Cádiz;Total;2017;1.239.435
11 Cádiz;Total;2016;1.239.889
11 Cádiz;Total;2015;1.240.284
11 Cádiz;Total;2014;1.240.175
11 Cádiz;Total;2013;1.238.492
11 Cádiz;Total;2012;1.245.164
11 Cádiz;Total;2011;1.243.519
11 Cádiz;Total;2010;1.236.739
11 Cádiz;Total;2009;1.230.594
11 Cádiz;Total;2008;1.220.467
11 Cádiz;Total;2007;1.207.343
11 Cádiz;Total;2006;1.194.062
11 Cádiz;Total;2005;1.180.817
11 Cádiz;Total;2004;1.164.374
11 Cádiz;Total;2003;1.155.724
11 Cádiz;Total;2002;1.140.793
11 Cádiz;Total;2001;1.131.346
11 Cádiz;Total;2000;1.125.105
11 Cádiz;Total;1999;1.119.802
11 Cádiz;Total;1998;1.107.484
11 Cádiz;Total;1997;""
11 Cádiz;Total;1996;1.105.762
39 Cantabria;Total;2021;584.507
39 Cantabria;Total;2020;582.905
39 Cantabria;Total;2019;581.078
39 Cantabria;Total;2018;580.229
39 Cantabria;Total;2017;580.295
39 Cantabria;Total;2016;582.206
39 Cantabria;Total;2015;585.179
39 Cantabria;Total;2014;588.656
39 Cantabria;Total;2013;591.888
39 Cantabria;Total;2012;593.861
39 Cantabria;Total;2011;593.121
39 Cantabria;Total;2010;592.250
39 Cantabria;Total;2009;589.235
39 Cantabria;Total;2008;582.138
39 Cantabria;Total;2007;572.824
39 Cantabria;Total;2006;568.091
39 Cantabria;Total;2005;562.309
39 Cantabria;Total;2004;554.784
39 Cantabria;Total;2003;549.690
39 Cantabria;Total;2002;542.275
39 Cantabria;Total;2001;537.606
39 Cantabria;Total;2000;531.159
39 Cantabria;Total;1999;528.478
39 Cantabria;Total;1998;527.137
39 Cantabria;Total;1997;""
39 Cantabria;Total;1996;527.437
12 Castellón/Castelló;Total;2021;587.064
12 Castellón/Castelló;Total;2020;585.590
12 Castellón/Castelló;Total;2019;579.962
12 Castellón/Castelló;Total;2018;576.898
12 Castellón/Castelló;Total;2017;575.470
12 Castellón/Castelló;Total;2016;579.245
12 Castellón/Castelló;Total;2015;582.327
12 Castellón/Castelló;Total;2014;587.508
12 Castellón/Castelló;Total;2013;601.699
12 Castellón/Castelló;Total;2012;604.564
12 Castellón/Castelló;Total;2011;604.344
12 Castellón/Castelló;Total;2010;604.274
12 Castellón/Castelló;Total;2009;602.301
12 Castellón/Castelló;Total;2008;594.915
12 Castellón/Castelló;Total;2007;573.282
12 Castellón/Castelló;Total;2006;559.761
12 Castellón/Castelló;Total;2005;543.432
12 Castellón/Castelló;Total;2004;527.345
12 Castellón/Castelló;Total;2003;518.239
12 Castellón/Castelló;Total;2002;501.237
12 Castellón/Castelló;Total;2001;485.173
12 Castellón/Castelló;Total;2000;474.385
12 Castellón/Castelló;Total;1999;467.895
12 Castellón/Castelló;Total;1998;461.712
12 Castellón/Castelló;Total;1997;""
12 Castellón/Castelló;Total;1996;456.727
13 Ciudad Real;Total;2021;492.591
13 Ciudad Real;Total;2020;495.045
13 Ciudad Real;Total;2019;495.761
13 Ciudad Real;Total;2018;499.100
