Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2020;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2020;333.425
Todas las edades;01 Araba/Álava;Total;1 de abril de 2020;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2020;332.874
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2019;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2019;331.275
Todas las edades;01 Araba/Álava;Total;1 de abril de 2019;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2019;330.104
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2018;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2018;328.617
Todas las edades;01 Araba/Álava;Total;1 de abril de 2018;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2018;327.763
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2017;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2017;326.281
Todas las edades;01 Araba/Álava;Total;1 de abril de 2017;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2017;325.250
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2016;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2016;324.006
Todas las edades;01 Araba/Álava;Total;1 de abril de 2016;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2016;322.974
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2015;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2015;322.080
Todas las edades;01 Araba/Álava;Total;1 de abril de 2015;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2015;321.541
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2014;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2014;321.014
Todas las edades;01 Araba/Álava;Total;1 de abril de 2014;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2014;320.451
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2013;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2013;320.284
Todas las edades;01 Araba/Álava;Total;1 de abril de 2013;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2013;320.199
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2012;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2012;319.840
Todas las edades;01 Araba/Álava;Total;1 de abril de 2012;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2012;320.566
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2011;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2011;320.546
Todas las edades;01 Araba/Álava;Total;1 de abril de 2011;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2011;319.846
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2010;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2010;318.688
Todas las edades;01 Araba/Álava;Total;1 de abril de 2010;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2010;317.737
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2009;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2009;316.720
Todas las edades;01 Araba/Álava;Total;1 de abril de 2009;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2009;315.280
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2008;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2008;313.154
Todas las edades;01 Araba/Álava;Total;1 de abril de 2008;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2008;310.944
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2007;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2007;308.653
Todas las edades;01 Araba/Álava;Total;1 de abril de 2007;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2007;306.475
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2006;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2006;304.299
Todas las edades;01 Araba/Álava;Total;1 de abril de 2006;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2006;302.481
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2005;""
Todas las edades;01 Araba/Álava;Total;1 de julio de 2005;300.724
Todas las edades;01 Araba/Álava;Total;1 de abril de 2005;""
Todas las edades;01 Araba/Álava;Total;1 de enero de 2005;298.830
Todas las edades;33 Asturias;Total;1 de enero de 2023;1.006.060
Todas las edades;33 Asturias;Total;1 de octubre de 2022;1.005.533
Todas las edades;33 Asturias;Total;1 de julio de 2022;1.004.553
Todas las edades;33 Asturias;Total;1 de abril de 2022;1.004.326
Todas las edades;33 Asturias;Total;1 de enero de 2022;1.004.960
Todas las edades;33 Asturias;Total;1 de octubre de 2021;1.006.430
Todas las edades;33 Asturias;Total;1 de julio de 2021;1.007.329
Todas las edades;33 Asturias;Total;1 de abril de 2021;1.009.420
Todas las edades;33 Asturias;Total;1 de enero de 2021;1.012.117
Todas las edades;33 Asturias;Total;1 de octubre de 2020;""
Todas las edades;33 Asturias;Total;1 de julio de 2020;1.014.604
Todas las edades;33 Asturias;Total;1 de abril de 2020;""
Todas las edades;33 Asturias;Total;1 de enero de 2020;1.018.053
Todas las edades;33 Asturias;Total;1 de octubre de 2019;""
Todas las edades;33 Asturias;Total;1 de julio de 2019;1.019.217
Todas las edades;33 Asturias;Total;1 de abril de 2019;""
Todas las edades;33 Asturias;Total;1 de enero de 2019;1.021.469
Todas las edades;33 Asturias;Total;1 de octubre de 2018;""
Todas las edades;33 Asturias;Total;1 de julio de 2018;1.023.596
Todas las edades;33 Asturias;Total;1 de abril de 2018;""
Todas las edades;33 Asturias;Total;1 de enero de 2018;1.027.091
Todas las edades;33 Asturias;Total;1 de octubre de 2017;""
Todas las edades;33 Asturias;Total;1 de julio de 2017;1.029.282
Todas las edades;33 Asturias;Total;1 de abril de 2017;""
Todas las edades;33 Asturias;Total;1 de enero de 2017;1.033.550
Todas las edades;33 Asturias;Total;1 de octubre de 2016;""
Todas las edades;33 Asturias;Total;1 de julio de 2016;1.036.480
Todas las edades;33 Asturias;Total;1 de abril de 2016;""
Todas las edades;33 Asturias;Total;1 de enero de 2016;1.040.407
Todas las edades;33 Asturias;Total;1 de octubre de 2015;""
Todas las edades;33 Asturias;Total;1 de julio de 2015;1.043.486
Todas las edades;33 Asturias;Total;1 de abril de 2015;""
Todas las edades;33 Asturias;Total;1 de enero de 2015;1.049.328
Todas las edades;33 Asturias;Total;1 de octubre de 2014;""
